Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,1,2,164,,,0.933,0.604
PHI,NL,1964,693,632,92,0.315,0.391,0.258,0,,,162,,,0.377,0.568
PIT,NL,1964,663,636,80,0.315,0.389,0.264,0,,,162,,,0.167,0.494
SFG,NL,1964,656,587,90,0.31,0.382,0.246,0,,,162,,,0.426,0.556
STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2,1,162,,,0.389,0.574
WSA,AL,1964,578,733,62,0.299,0.348,0.231,0,,,162,,,-0.957,0.383
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,,0.142,0.531
BOS,AL,1963,666,704,76,0.312,0.4,0.252,0,,,161,,,-0.236,0.472
CHC,NL,1963,570,578,82,0.297,0.363,0.238,0,,,162,,,-0.049,0.506
CHW,AL,1963,683,544,94,0.323,0.365,0.25,0,,,162,,,0.858,0.58
CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,,,0.333,0.531
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,,-0.414,0.488
DET,AL,1963,700,703,79,0.327,0.382,0.252,0,,,162,,,-0.019,0.488
HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,,,-1.086,0.407
KCA,AL,1963,615,704,73,0.313,0.353,0.247,0,,,162,,,-0.549,0.451
LAA,AL,1963,597,660,70,0.309,0.354,0.25,0,,,161,,,-0.391,0.435
LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2,1,163,,,0.552,0.607
MIN,AL,1963,767,602,91,0.325,0.43,0.255,0,,,161,,,1.025,0.565
MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,,,0.454,0.515
NYM,NL,1963,501,774,51,0.285,0.315,0.219,0,,,162,,,-1.685,0.315
NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,1,2,161,,,1.037,0.646
PHI,NL,1963,642,578,87,0.306,0.381,0.252,0,,,162,,,0.395,0.537
PIT,NL,1963,567,595,74,0.309,0.359,0.25,0,,,162,,,-0.173,0.457
SFG,NL,1963,725,641,88,0.316,0.414,0.258,0,,,162,,,0.519,0.543
STL,NL,1963,747,628,93,0.326,0.403,0.271,0,,,162,,,0.735,0.574
WSA,AL,1963,578,812,56,0.293,0.351,0.227,0,,,162,,,-1.444,0.346
BAL,AL,1962,652,680,77,0.314,0.387,0.248,0,,,162,,,-0.173,0.475
BOS,AL,1962,707,756,76,0.324,0.403,0.258,0,,,160,,,-0.306,0.475
CHC,NL,1962,632,827,59,0.317,0.377,0.253,0,,,162,,,-1.204,0.364
CHW,AL,1962,707,658,85,0.334,0.372,0.257,0,,,162,,,0.302,0.525
CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,,,0.722,0.605
CLE,AL,1962,682,745,80,0.312,0.388,0.245,0,,,162,,,-0.389,0.494
DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,,,0.41,0.528
HOU,NL,1962,592,717,64,0.31,0.351,0.246,0,,,162,,,-0.772,0.395
KCA,AL,1962,745,837,72,0.332,0.386,0.263,0,,,162,,,-0.568,0.444
LAA,AL,1962,718,706,86,0.325,0.38,0.25,0,,,162,,,0.074,0.531
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,,0.879,0.618
MIN,AL,1962,798,713,91,0.338,0.412,0.26,0,,,163,,,0.521,0.558
MLN,NL,1962,730,665,86,0.326,0.403,0.252,0,,,162,,,0.401,0.531
NYM,NL,1962,617,948,40,0.318,0.361,0.24,0,,,161,,,-2.056,0.248
NYY,AL,1962,817,680,96,0.337,0.426,0.267,1,2,1,162,,,0.846,0.593
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,,,-0.335,0.503
PIT,NL,1962,706,626,93,0.321,0.394,0.268,0,,,161,,,0.497,0.578
SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,1,2,165,,,1.139,0.624
STL,NL,1962,774,664,84,0.335,0.394,0.271,0,,,163,,,0.675,0.515
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,,-0.722,0.37
